title,type,description,release_year,duration,genre_id,title_platform
Party Animals,TV Show,This music video series captures the funny moments animals have in their day-to-day lives.,2016,1 Season,Animals,Disney Plus
Folklore: the long pond studio sessions,Movie,An intimate musical concert featuring Taylor Swift performing every song from “folklore.”,2020,107 min,"Documentary,",Disney Plus
Bia,TV Show,"Bia is filled with passion, after the loss of her sister she will rediscover music and find love.",2019,1 Season,Coming,Disney Plus
Marvel's 616,TV Show,An anthology documentary series exploring the impact of the Marvel Comics Universe.,2020,1 Season,"Anthology,",Disney Plus
Planes,Movie,A crop duster takes on the world’s fastest in the greatest air race ever.,2013,94 min,"Action-Adventure,",Disney Plus
Planes: Fire & Rescue,Movie,Air racer Dusty teams up with a dynamic crew of flying firefighters.,2014,85 min,"Action-Adventure,",Disney Plus
The Real Right Stuff,Movie,The Real Right Stuff tells the story of the nation’s first astronauts.,2020,90 min,"Documentary,",Disney Plus
The Wonderful World of Mickey Mouse,TV Show,It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.,2020,1 Season,"Action-Adventure,",Disney Plus
LEGO Star Wars Holiday Special,Movie,"On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history.",2020,48 min,"Action-Adventure,",Disney Plus
Home Alone,Movie,"When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars.",1990,103 min,"Comedy,",Disney Plus
Home Alone 2: Lost in New York,Movie,Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.,1992,121 min,"Comedy,",Disney Plus
Home Alone 3,Movie,"A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox.",1997,103 min,"Comedy,",Disney Plus
Inside Pixar,TV Show,"An inside look at the people, artistry, and culture of Pixar Animation Studios.",2020,1 Season,"Docuseries,",Disney Plus
Petra: Secrets of the Ancient Builders,Movie,"Discover the technical prowess behind Petra, a wonder in the middle of the desert.",2019,45 min,"Documentary,",Disney Plus
Ultimate Viking Sword,Movie,"National Geographic reconstructs the Ulfberht, a Viking warrior’s ultimate weapon.",2019,45 min,"Documentary,",Disney Plus
Disney's A Christmas Carol,Movie,Three ghosts take Ebenezer Scrooge on an eye-opening journey.,2009,97 min,"Animation,",Disney Plus
Fancy Nancy (Shorts),TV Show,Follow Nancy as she shows you how to be more Fancy!,2019,1 Season,"Animation,",Disney Plus
Goldie & Bear,TV Show,Goldie and Bear go on adventures in Fairytale Forest.,2015,2 Seasons,"Action-Adventure,",Disney Plus
Mr. Magoo,Movie,Clueless Mr. Magoo sets out to get back a stolen precious gem.,1997,88 min,"Action-Adventure,",Disney Plus
Prep & Landing,Movie,An elite elf unit ensures homes around the world are prepared for Santa.,2009,23 min,"Animation,",Disney Plus
Prep & Landing: Naughty vs. Nice,Movie,Wayne and Lanny race to save Christmas!,2011,23 min,"Animation,",Disney Plus
Disney Channel Halloween House Party,Movie,"Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!",2020,23 min,"Comedy,",Disney Plus
The Mandalorian,TV Show,"After the fall of the Empire, a lone gunfighter makes his way through the lawless galaxy.",2019,2 Seasons,"Action-Adventure,",Disney Plus
The Sorcerer's Apprentice,Movie,A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.,2010,111 min,"Action-Adventure,",Disney Plus
X-Ray Earth,TV Show,What if we could x-ray the Earth to reveal the origins of natural disasters? Now we can.,2020,1 Season,Animals,Disney Plus
Gathering Storm,TV Show,"Witness first hand stories combined with scientific insight, analysis and satellite mapping.",2020,1 Season,Animals,Disney Plus
India From Above,TV Show,"India From Above, a two-part aerial documentary of a nation and its people.",2019,1 Season,"Docuseries,",Disney Plus
Marvel Super Hero Adventures,TV Show,Spider-Man sets off on adventures with Marvel heroes!,2017,4 Seasons,"Action-Adventure,",Disney Plus
Once Upon a Snowman,Movie,This new short film follows Olaf’s first steps as he comes to life and searches for his identity.,2020,12 min,"Animation,",Disney Plus
Pompeii: Secrets Of The Dead,Movie,Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.,2019,45 min,"Documentary,",Disney Plus
Toy Story of Terror!,Movie,Join the Toy Story gang in a frighteningly fun animated adventure.,2013,22 min,"Animation,",Disney Plus
Beverly Hills Chihuahua,Movie,"Papi has to rescue his true love, Chloe, when she gets lost in Mexico.",2008,95 min,"Action-Adventure,",Disney Plus
Clouds,Movie,A young musician with months to live turns to music to make the most of the time he has left.,2020,122 min,"Biographical,",Disney Plus
Lost on Everest,Movie,The quest to reveal what happened to the explorers who first set out to summit Mt. Everest.,2020,60 min,Animals,Disney Plus
Marvel's Iron Man & Captain America: Heroes United,Movie,Iron Man and Captain America battle the Red Skull and Taskmaster.,2014,72 min,"Action-Adventure,",Disney Plus
Meet The Chimps,TV Show,"Meet the Chimps takes viewers inside the secret life of Chimp Haven, a unique wildlife sanctuary.",2020,1 Season,Animals,Disney Plus
The Rocketeer,TV Show,Kit becomes a rocket-pack wearing superhero!,2019,1 Season,"Action-Adventure,",Disney Plus
Oil Spill of The Century,Movie,Loïck Peyron investigates the 1978 Amoco Cadiz oil spill and its impact.,2019,45 min,"Documentary,",Disney Plus
The Chronicles Of Narnia: The Voyage of the Dawn Treader,Movie,Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.,2010,113 min,"Action-Adventure,",Disney Plus
The Right Stuff,TV Show,The incredible story of the Mercury Seven astronauts and their extraordinary achievements.,2020,1 Season,"Drama,",Disney Plus
Wild Portugal,Movie,Explore a rugged world where diverse species fight for survival.,2020,45 min,Animals,Disney Plus
X2,Movie,"X-Men newcomer, Night Crawler, joins Magneto to rescue their brethren and forestall a holocaust.",2003,134 min,"Action-Adventure,",Disney Plus
Mr. Holland's Opus,Movie,A musician finds his passion when he takes a “day job” as a music teacher.,1996,143 min,"Drama,",Disney Plus
Disneynature Oceans,Movie,Journey into the depths of a wonderland filled with beauty and power.,2010,84 min,Animals,Disney Plus
Hidden Figures,Movie,A story about three women at NASA who helped launch John Glenn into orbit.,2016,128 min,"Biographical,",Disney Plus
Magic of Disney's Animal Kingdom,TV Show,Magic of Disney’s Animal Kingdom goes backstage at Walt Disney World Resort. Narrated by Josh Gad.,2020,1 Season,Animals,Disney Plus
Secret Society of Second-Born Royals,Movie,"Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals.",2020,99 min,"Action-Adventure,",Disney Plus
The Giant Robber Crab,Movie,"As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies.",2019,44 min,Animals,Disney Plus
Wild Central America,TV Show,Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.,2020,1 Season,"Action-Adventure,",Disney Plus
Ancient China from Above,TV Show,Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.,2020,1 Season,"Docuseries,",Disney Plus
Becoming,TV Show,"Becoming chronicles the origin stories of world-class entertainers, musicians and athletes.",2020,1 Season,"Anthology,",Disney Plus
Coop & Cami Ask The World,TV Show,"Cooper and Cami Wrather co-host ""Would You Wrather.""",2018,2 Seasons,"Comedy,",Disney Plus
Europe from Above,TV Show,Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.,2019,1 Season,"Docuseries,",Disney Plus
Ever After: A Cinderella Story,Movie,A young woman falls in love with a prince while pretending to be a princess.,1998,122 min,"Drama,",Disney Plus
Kingdom of the Mummies,TV Show,A team of archaeologists uncover the first Egyptian funeral parlor ever found.,2020,1 Season,"Docuseries,",Disney Plus
Morning Light,Movie,"Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",2008,99 min,"Documentary,",Disney Plus
Notre Dame: Race Against The Inferno,Movie,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",2019,45 min,Documentary,Disney Plus
Once Upon a Time,TV Show,Fairy tale characters inhabit a land of good and evil.,2011,7 Seasons,"Action-Adventure,",Disney Plus
Soy Luna,TV Show,Luna will learn that love transcends distance.,2015,3 Seasons,"Comedy,",Disney Plus
Violetta,TV Show,Violetta is a talented teen following her dream.,2011,3 Seasons,Coming,Disney Plus
Christopher Robin,Movie,Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.,2018,109 min,"Drama,",Disney Plus
D2: The Mighty Ducks,Movie,The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,1994,107 min,"Comedy,",Disney Plus
D3: The Mighty Ducks,Movie,The Mighty Ducks inherit a new coach and a new set of problems.,1996,104 min,"Comedy,",Disney Plus
Earth to Ned,TV Show,"From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests.",2020,1 Season,"Comedy,",Disney Plus
Trick or Treat,Movie,"Donald plays a trick on his nephews, but a witch helps them out. See details for advisory.",1952,9 min,"Animation,",Disney Plus
Alice Through the Looking Glass,Movie,Alice returns to Underland to save the Mad Hatter in a race against time.,2016,115 min,"Action-Adventure,",Disney Plus
Phineas and Ferb The Movie: Candace Against the Universe,Movie,"Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens.",2020,86 min,"Action-Adventure,",Disney Plus
Back to the Titanic,Movie,Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.,2020,44 min,"Documentary,",Disney Plus
Beauty and the Beast,Movie,Belle must look beyond the Beast’s exterior to find the true Prince within.,2017,138 min,"Family,",Disney Plus
Mars: One Day on the Red Planet,Movie,"An epic journey around the real Mars – built from data, as you’ve never seen it before.",2020,88 min,Documentary,Disney Plus
The One and Only Ivan,Movie,An adaptation of the award-winning book about a very special gorilla.,2020,95 min,"Drama,",Disney Plus
"Weirdest, Bestest, Truest",TV Show,Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!,2018,1 Season,Animals,Disney Plus
Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),TV Show,What happens after the baby animals are delivered?,2020,1 Season,"Animation,",Disney Plus
Disney Zombies 2,Movie,Zed and Addison encounter a group of werewolves!,2020,84 min,Coming,Disney Plus
India's Wild Leopards,Movie,Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.,2020,45 min,Animals,Disney Plus
Jungle Animal Rescue,TV Show,A team of conservationists and veterinarians helps India’s people and wildlife coexist.,2019,1 Season,Animals,Disney Plus
Magic Camp,Movie,A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,2020,101 min,"Comedy,",Disney Plus
Marvel Studios' Ant-Man and the Wasp,Movie,Ant-Man and the Wasp must join forces to uncover secrets from the past.,2018,120 min,"Action-Adventure,",Disney Plus
Nature Boom Time,TV Show,"Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome.",2016,1 Season,Animals,Disney Plus
Sam's Zookeeper Challenge,TV Show,Sam is put to the test to care for animals in “Zookeeper’s Challenge.”,2018,1 Season,Animals,Disney Plus
Scuba Sam's World,TV Show,Take a deep dive and learn all about the beloved sea animals in our oceans!,2018,1 Season,Animals,Disney Plus
Spaced Out,TV Show,Learn about our universe through imagery taken from the Hubble Space Telescope.,2018,1 Season,"Docuseries,",Disney Plus
The Greatest Showman,Movie,A bold and original musical celebrating the birth of show business and dreams coming to life.,2017,106 min,"Biographical,",Disney Plus
Weird But True!,TV Show,"Come along as we reveal fun, strange & surprising facts about our world in Weird But True!",2017,3 Seasons,Animals,Disney Plus
Wild Cats of India,TV Show,Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.,2020,1 Season,Animals,Disney Plus
Howard,Movie,"“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",2020,95 min,"Biographical,",Disney Plus
Prince of Persia: The Sands of Time,Movie,A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,2010,117 min,"Action-Adventure,",Disney Plus
Star Wars: Galaxy's Edge-Adventure Awaits,Movie,Celebrating Disney’s new land that brings Star Wars to life!,2019,81 min,"Documentary,",Disney Plus
The Hidden Kingdoms of China,Movie,THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.,2020,88 min,Animals,Disney Plus
The Peanuts Movie,Movie,"Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest.",2015,89 min,"Animation,",Disney Plus
UFO Europe: The Untold Stories,TV Show,A selection of stories featuring encounters and sightings of the unexplained.,2012,1 Season,"Docuseries,",Disney Plus
Animal Showdown,TV Show,Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,2018,1 Season,Animals,Disney Plus
Best Job Ever,TV Show,Check out the cool jobs Nat Geo explorers do every day!,2018,1 Season,Animals,Disney Plus
Big Cat Games,Movie,"Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title.",2015,44 min,Animals,Disney Plus
Black Is King,Movie,"This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens.",2020,86 min,"Dance,",Disney Plus
Cradle of the Gods,Movie,"Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple.",2012,45 min,"Documentary,",Disney Plus
Destination World,TV Show,Check out the continents and find out what makes them unique from each other!,2018,1 Season,Animals,Disney Plus
Fearless Adventures with Jack Randall,TV Show,Check out Jack Randall go head-to-head with all kinds of critters.,2018,1 Season,Animals,Disney Plus
Hunt for the Abominable Snowman,Movie,"Across the Himalayas are stories of the yeti, or abominable snowman.",2011,45 min,Documentary,Disney Plus
Incredibles 2,Movie,The Incredibles spring into action when a dangerous new villain emerges.,2018,118 min,"Action-Adventure,",Disney Plus
King Fishers,TV Show,"With so many fishermen and so many fishing disciplines, who is best?",2013,1 Season,"Action-Adventure,",Disney Plus
Lost Temple of the Inca,Movie,A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.,2020,44 min,Documentary,Disney Plus
Marvel Funko Shorts,TV Show,Marvel and Funko present Pop! style Marvel heroes.,2016,2 Seasons,"Action-Adventure,",Disney Plus
Muppets Now,TV Show,The Muppets have a brand-new series ready to stream… but only if they can upload it in time.,2020,1 Season,"Comedy,",Disney Plus
Surviving the Mount St. Helens Disaster,Movie,Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.,2020,44 min,Animals,Disney Plus
What Sam Sees,TV Show,"Join Sam on an underwater journey and learn about sharks, eels, and more!",2018,1 Season,Animals,Disney Plus
Pirates of the Caribbean: Dead Men Tell No Tales,Movie,Captain Jack Sparrow searches for the Trident of Poseidon.,2017,129 min,"Action-Adventure,",Disney Plus
PJ Masks (Shorts),TV Show,The PJ Masks are protecting the city from villains!,2017,1 Season,"Action-Adventure,",Disney Plus
Rogue Trip,TV Show,Bob Woodruff and his son travel the world searching for beauty and adventure in unexpected places.,2020,1 Season,"Buddy,",Disney Plus
Wild Congo,TV Show,The Congo: the most mysterious river in the dark heart of Africa.,2014,1 Season,Animals,Disney Plus
Wild Sri Lanka,TV Show,This three-part series reveals the spectacular nature and amazing wildlife of Sri Lanka.,2016,1 Season,Animals,Disney Plus
A Pre-Opening Report from Disneyland,Movie,Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,1955,55 min,"Documentary,",Disney Plus
Diary of a Wimpy Kid: The Long Haul,Movie,A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,2017,92 min,"Comedy,",Disney Plus
Disney Junior Music Lullabies,TV Show,Disney Junior songs reimagined as calming lullabies.,2018,1 Season,"Animation,",Disney Plus
Lost City of Machu Picchu,Movie,Who were the mysterious people who built Machu Picchu and why?,2019,44 min,"Documentary,",Disney Plus
Super Robot Monkey Team Hyperforce Go!,TV Show,Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.,2004,2 Seasons,"Action-Adventure,",Disney Plus
The Mouseketeers at Walt Disney World,Movie,The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.,1977,56 min,Coming,Disney Plus
Wild Chile,TV Show,This beautiful and intriguing blue-chip series explores the incredibly varied wildlife of Chile.,2017,1 Season,Animals,Disney Plus
X-Men: Apocalypse,Movie,"Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",2016,144 min,"Action-Adventure,",Disney Plus
Cosmos: A Spacetime Odyssey,TV Show,A 13-part adventure across the universe of space and time.,2013,1 Season,"Action-Adventure,",Disney Plus
Hamilton: History Has Its Eyes on You,Movie,"Robin Roberts hosts a discussion with Lin-Manuel Miranda, Thomas Kail, and original cast members.",2020,47 min,"Historical,",Disney Plus
Solo: A Star Wars Story,Movie,Witness the beginning of the Star Wars saga's most unlikely hero.,2018,135 min,"Action-Adventure,",Disney Plus
X-Men: Days of Future Past,Movie,Characters from the X-Men trilogy join their younger selves to change the past and save our future.,2014,132 min,"Action-Adventure,",Disney Plus
The Undefeated Presents: Hamilton In-Depth,Movie,The Undefeated Presents: Hamilton In-Depth is a roundtable discussion with 9 stars and the director.,2020,33 min,"Historical,",Disney Plus
Animal ER,TV Show,Animal ER brings you up close to the bleeding edge of animal care.,2016,2 Seasons,Animals,Disney Plus
Diary of a Wimpy Kid: Rodrick Rules,Movie,"In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",2011,100 min,"Comedy,",Disney Plus
Hamilton,Movie,The filmed version of Broadway original “Hamilton” that soars in music and tale.,2020,160 min,"Biographical,",Disney Plus
Ice Age: Collision Course,Movie,"When their world is threatened, Manny and friends go on a quest to survive the Scrat-tastrophe!",2016,97 min,"Action-Adventure,",Disney Plus
Race to Witch Mountain,Movie,A Las Vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,2009,100 min,"Action-Adventure,",Disney Plus
The Big Green,Movie,A group of bored misfits become local soccer heroes in a sleepy Texas town.,1995,100 min,"Comedy,",Disney Plus
The Mighty Ducks,Movie,A hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,1992,104 min,"Comedy,",Disney Plus
While You Were Sleeping,Movie,A lonely subway worker is mistaken for a comatose man's finacée.,1995,104 min,"Comedy,",Disney Plus
Disney A.N.T. Farm,TV Show,Chyna Sparks and her friends are the newest members of the A.N.T. program.,2011,3 Seasons,"Comedy,",Disney Plus
Into the Unknown: Making Frozen 2,TV Show,"For the first time, go behind-the-scenes into the making of the #1 animated film, Frozen 2.",2020,1 Season,"Docuseries,",Disney Plus
Man in Space,Movie,"From the TV series Disneyland, a look at the history of space travel. See details for advisory.",1955,49 min,"Documentary,",Disney Plus
Mars and Beyond,Movie,An animated look at humankind's early views of the universe and life on Mars.,1957,53 min,"Animation,",Disney Plus
Marvel Studios' Avengers: Infinity War,Movie,The Avengers must be willing to sacrifice all to defeat Thanos.,2018,152 min,"Action-Adventure,",Disney Plus
Tarzan,Movie,"Adopted by gorillas, Tarzan’s life changes forever when he meets other humans.",1999,93 min,"Action-Adventure,",Disney Plus
Tarzan II,Movie,Young Tarzan decides his ape family would be better off without him.,2005,75 min,"Action-Adventure,",Disney Plus
101 Dalmatians (Series),TV Show,The Dearly Family move to a new farm home in the country.,1997,1 Season,"Action-Adventure,",Disney Plus
Big Sur: Wild California,Movie,Why is California's Big Sur coastline experiencing an explosion in wildlife?,2010,47 min,Animals,Disney Plus
Disney Junior Muppet Babies Play Date,TV Show,Time for a playdate with the Muppet Babies!,2018,1 Season,"Comedy,",Disney Plus
Egypt's Treasure Guardians,Movie,"This programme follows a select cast of individuals, determined to bring Egypt back from the brink.",2016,44 min,"Documentary,",Disney Plus
The Jungle Book,Movie,A man-cub who’s been raised by a family of wolves eludes a dangerous tiger.,2016,108 min,"Action-Adventure,",Disney Plus
The Pirate Fairy,Movie,Tinker Bell and friends face the pirates of Skull Rock to save a friend.,2014,78 min,"Action-Adventure,",Disney Plus
Trail Mix-Up,Movie,Roger Rabbit is left to care for Baby Herman in Yellowstone National Park.,1993,9 min,"Action-Adventure,",Disney Plus
Tummy Trouble,Movie,Roger Rabbit is left to babysit with the mischievous Baby Herman,1989,8 min,"Action-Adventure,",Disney Plus
Artemis Fowl,Movie,A descendant of a long line of criminal masterminds seeks to find his father who has disappeared.,2020,96 min,"Action-Adventure,",Disney Plus
Mighty Med,TV Show,"Check in to Mighty Med, the secret superhero hospital.",2013,2 Seasons,"Comedy,",Disney Plus
The Liberty Story,Movie,Walt Disney presents segments of America's fight for freedom. See details for advisory.,1957,48 min,"Drama,",Disney Plus
The Story of the Animated Drawing,Movie,Walt Disney discusses the history of animation. See details for advisory.,1955,49 min,"Documentary,",Disney Plus
Walt & El Grupo,Movie,The U.S. Government sends Walt Disney to South America on a goodwill tour.,2009,108 min,"Documentary,",Disney Plus
Alaska's Grizzly Gauntlet,TV Show,Survival expert Les Stroud explores the world of Alaska’s most formidable wildlife.,2018,1 Season,Animals,Disney Plus
America's Greatest Animals,Movie,Nat Geo WILD goes on a search for America's 'big five.' Can America compete with Africa's beasts?,2012,90 min,Animals,Disney Plus
Chasing the Equinox,Movie,Ancient civilizations shared an incredible knowledge of the sun.,2019,45 min,Documentary,Disney Plus
Howie Mandel's Animals Doing Things,TV Show,This show combines Howie Mandel’s lovable comedic genius with clips of animals doing crazy things.,2017,2 Seasons,Animals,Disney Plus
Japan: Between Earth and Sky,TV Show,Japan: Between Earth and Sky reveals the mystery of some the most beautiful sites in the country.,2017,1 Season,Animals,Disney Plus
Percy Jackson & The Olympians: The Lightning Thief,Movie,A boy discovers he's the descendant of Poseidon and must settle an on-going battle between the gods.,2010,119 min,"Action-Adventure,",Disney Plus
Secrets of Wild India,TV Show,'Secrets of Wild India' celebrates the diversity and drama of India's extraordinary landscapes.,2012,1 Season,Animals,Disney Plus
The Greeks,TV Show,"Quite simply, the Greeks created our world.",2016,1 Season,"Docuseries,",Disney Plus
Wild Hawaii,TV Show,National Geographic takes us on an untamed journey to Hawaii's remarkable lands.,2014,1 Season,Animals,Disney Plus
Women Of Impact: Changing The World,Movie,How will you make the world a better place? Hear stories of the amazing women changing our world.,2019,44 min,"Documentary,",Disney Plus
"Maggie Simpson in ""The Longest Daycare""",Movie,"In this Oscar-nominated short from The Simpsons, Maggie navigates an eventful first day at daycare.",2012,5 min,"Animation,",Disney Plus
Mickey and the Seal,Movie,Mickey and Pluto get into trouble with a mischievous seal.,1948,7 min,"Animation,",Disney Plus
The Evermoor Chronicles,TV Show,Tara is trying to settle into a strange village.,2015,2 Seasons,Coming,Disney Plus
The Moon-Spinners,Movie,A teen finds romance and searches for stolen gems during her vacation.,1964,119 min,"Crime,",Disney Plus
Doc McStuffins,TV Show,Doc McStuffins has a clinic for toys in her playhouse.,2011,5 Seasons,"Animation,",Disney Plus
Fantastic Mr. Fox,Movie,Mr. Fox lives a happy life until he plots the greatest chicken heist the world has ever seen.,2009,88 min,"Animation,",Disney Plus
"Hello, Dolly!",Movie,Matchmaker Dolly Levi orchestrates the love lives of her friends while trying to figure out her own.,1969,147 min,"Comedy,",Disney Plus
Marvel's Future Avengers,TV Show,Teenagers train to become superheroes.,2017,2 Seasons,"Action-Adventure,",Disney Plus
Out,Movie,"On an average day, Greg's life seems ordinary. But today is different - there’s magic in the air.",2020,12 min,"Animation,",Disney Plus
The Big Fib,TV Show,The Big Fib is a comedy game show where a truth-seeking kid chooses between a liar and an expert.,2019,1 Season,"Family,",Disney Plus
The Boys: The Sherman Brothers' Story,Movie,"A journey through the lives of the prolific, award-winning songwriting duo.",2009,102 min,"Biographical,",Disney Plus
It's a Dog's Life with Bill Farmer,TV Show,"As the voice of Goofy and Pluto, Bill Farmer crosses the country meeting dogs doing incredible work!",2020,1 Season,Animals,Disney Plus
Maleficent: Mistress of Evil,Movie,The story of Disney's most iconic villain continues.,2019,121 min,"Action-Adventure,",Disney Plus
Star Wars: The Rise of Skywalker (Episode IX),Movie,The landmark Skywalker saga comes to a conclusion.,2019,142 min,"Action-Adventure,",Disney Plus
John Carter,Movie,A former military captain is inexplicably transported to Barsoom (Mars).,2012,134 min,"Action-Adventure,",Disney Plus
Awesome Animals,TV Show,National Geographic Kids presents a natural history series just for kids.,2017,1 Season,Animals,Disney Plus
Birth of Europe,TV Show,Birth of Europe reveals the extraordinary story of how Europe has been created by Nature’s forces.,2014,1 Season,Docuseries,Disney Plus
Bride of Boogedy,Movie,"Mr. Boogedy returns, and will not stop until he get his revenge.",1987,93 min,"Action-Adventure,",Disney Plus
Buried Secrets Of The Bible With Albert Lin,TV Show,Albert Lin investigates two great stories of the Bible.,2019,1 Season,"Action-Adventure,",Disney Plus
Disney Prop Culture,TV Show,"Collector Dan Lanigan reunites iconic Disney movie props with filmmakers, actors, and crew.",2020,1 Season,Docuseries,Disney Plus
George of the Jungle,Movie,"A baby raised by gorillas grows up to be a lovable, vine-swinging klutz.",1997,93 min,"Action-Adventure,",Disney Plus
Homeward Bound II: Lost in San Francisco,Movie,Three lost pets must navigate through San Francisco to find their way home.,1996,90 min,"Action-Adventure,",Disney Plus
Homeward Bound: The Incredible Journey,Movie,Two dogs and a cat embark on a great American journey to find their owners.,1993,85 min,"Action-Adventure,",Disney Plus
How to Play Baseball,Movie,Goofy teaches you all about this all-American pastime.,1942,8 min,"Animation,",Disney Plus
In Beaver Valley,Movie,A young male beaver races to build his new family a home before winter. See details for advisory.,1950,32 min,Animals,Disney Plus
Lost Treasures Of Egypt,TV Show,"An immersive, discovery-led series following teams of archaeologists in Egypt.",2018,1 Season,"Docuseries,",Disney Plus
Love & Vets,TV Show,We watch as doctors Will and Fran divide and conquer to treat the steady flow of claw-clad patients.,2017,1 Season,Animals,Disney Plus
Nature's Half Acre,Movie,The strange and wonderful world that lies beneath our feet. See details for advisory.,1951,33 min,Animals,Disney Plus
Prairie Dog Manor,TV Show,Each episode takes the audience on a first-person journey following a few of the prairie dogs.,2019,1 Season,Animals,Disney Plus
Prowlers of the Everglades,Movie,"A primeval reptile stalks its prey in ""the swamp that time forgot."" See details for advisory.",1953,32 min,Animals,Disney Plus
The Princess Bride,Movie,A man regales his ailing grandson with a tale of romance and adventure in a lighthearted fairy tale.,1987,99 min,"Action-Adventure,",Disney Plus
United States Of Animals,TV Show,United States of Animals takes you on a fascinating journey across the United States.,2015,1 Season,Animals,Disney Plus
Unlikely Animal Friends,TV Show,This series reveals the stories of unlikely duos that have struck up unusual relationships.,2012,3 Seasons,Animals,Disney Plus
Water Birds,Movie,Experience the beauty and variety of majestic water birds. See details for advisory.,1952,31 min,Animals,Disney Plus
National Treasure,Movie,A treasure hunter must steal America's most sacred and guarded document.,2004,132 min,"Action-Adventure,",Disney Plus
Born Wild: The Next Generation,Movie,BORN WILD: THE NEXT GENERATION gives viewers a look at our planet’s next generation of baby animals.,2020,44 min,Animals,Disney Plus
America's Funniest Home Videos,TV Show,Home videos compete for cash prizes. Program is presented as originally created.,1989,9 Seasons,"Comedy,",Disney Plus
The Olympic Elk,Movie,Olympic elk trek toward the fertile grazing grounds of Mount Olympus. See details for advisory.,1952,27 min,Animals,Disney Plus
Tangled: The Series,TV Show,Rapunzel must discover the secret of her hair.,2016,3 Seasons,"Action-Adventure,",Disney Plus
Jane Goodall: The Hope,Movie,Jane Goodall continues her lifetime of activism by continuously spreading a message of hope.,2020,89 min,"Biographical,",Disney Plus
Brain Games,TV Show,Brain Games features games & experiments revealing the science of how your brain works.,2011,8 Seasons,"Docuseries,",Disney Plus
Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),TV Show,Chip and Dale set off on nutty adventures!,2017,2 Seasons,"Action-Adventure,",Disney Plus
Let's Stick Together,Movie,"Spike, an old honey bee, recounts working with Donald in the good ol' days.",1952,7 min,"Animation,",Disney Plus
Pluto's Purchase,Movie,Pluto is in for a surprise when Mickey sends him to buy a salami. See details for advisory.,1948,7 min,"Animation,",Disney Plus
Tron Uprising,TV Show,"Inside the computer world of the grid, Beck becomes the unlikely leader of a revolution.",2011,1 Season,"Action-Adventure,",Disney Plus
A Celebration of the Music from Coco,Movie,“Coco” is brought to life on stage with musical performances at the historic Hollywood Bowl.,2020,48 min,Concert,Disney Plus
